,meal_type,name,url,image_url,alt,description
24,side-dish,Roast tomatoes,/recipes/roast-tomatoes,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-740488_11-314717c.jpg?quality=90&resize=93,85",Roasted tomatoes in a tin with thyme,"Tomatoes take on an intense, deep flavour after roasting and a versatile ingredient for lots of other recipes. Here, we add garlic, balsamic vinegar and thyme"
25,side-dish,Easy onion bhajis,/recipes/onion-bhajis-raita,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/onion-ea06386.jpg?quality=90&resize=93,85",Onion bhajis on a tray with a bowl of raita,"Serve your crispy onion bhajis with cooling cucumber and mint raita as a snack, or eat alongside a homemade Indian curry. You'll be surprised by how easy they are to make"
26,side-dish,Ultimate tomato salsa,/recipes/ultimate-tomato-salsa,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/salsa-e946d21.jpg?quality=90&resize=93,85",Ultimate tomato salsa with limes and nachos alongside,"Make this tasty healthy salsa in just 5 minutes with tomatoes, onion, garlic, lime, coriander and white wine vinegar. Serve with nachos and let everyone dig in"
27,side-dish,Vegetable samosas,/recipes/vegetable-samosas,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/vegetable-samosas-b9b74f9.jpg?quality=90&resize=93,85",Samosas on board with raita,Serve up these crisp vegan samosas as a tasty starter or side dish with your favourite curry. They also make great buffet food for your next party.
28,side-dish,Chapatis,/recipes/chapatis,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chapatis-d1dc0de.jpg?quality=90&resize=93,85",Chapatis with sauce in dish with spoon,We can't resist a warm chapati with our favourite curry. This traditional Indian side dish is easier than you think and only takes a handful of ingredients
29,side-dish,Crispiest ever roast potatoes,/recipes/crispiest-ever-roast-potatoes,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/crispiest-ever-roast-potatoes-b0cfb42.jpg?quality=90&resize=93,85",Crispiest ever roast potatoes served in a bowl,"Make soggy potatoes a thing of the past with this clever recipe. You'll end up with roasties that have a fluffy middle and golden, crisp exterior"
30,side-dish,Classic homemade coleslaw,/recipes/classic-homemade-coleslaw,"https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Classic-homemade-coleslaw-cd8edba.jpg?quality=90&resize=93,85",Classic homemade slaw in a bowl,"Forget shop-bought versions and make a homemade slaw. It's an ideal side dish for barbecues or to serve with burgers, salads, sandwiches and more"
31,side-dish,Chunky oven chips,/recipes/chunky-oven-chips,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-373505_11-0d2c41f.jpg?quality=90&resize=93,85",Chunky oven chips,Gordon Ramsay makes healthy and tasty chunky chips - without deep-frying
32,side-dish,Cauliflower rice,/recipes/cauliflower-rice,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cauliflower-rice-eb31363.jpg?quality=90&resize=93,85",A plate filled with herby cauliflower rice,Pulse cauliflower in a food processor to make cauliflower couscous or an easy rice-like side dish that's much lower GI and ready in just 10 minutes
33,side-dish,Pineapple fried rice,/recipes/pineapple-fried-rice,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/pineapple-fried-rice-25ff2b3.jpg?quality=90&resize=93,85",Pineapple fried rice served in a large dish,Add chunks of fresh pineapple to vegetarian fried rice to transform it into something special. Serve on its own for a family dinner or as part of a banquet
34,side-dish,Cheesy garlic baguette,/recipes/cheesy-garlic-bread-0,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-3401_11-3aa611b.jpg?quality=90&resize=93,85",Cheesy piece of garlic baguette being pulled out,"Make this family-friendly, cheesy garlic bread to accompany soup, chilli or pasta. It's an easy crowd-pleaser that's full of melty mozzarella."
35,side-dish,Sauté potatoes with sea salt & rosemary,/recipes/saute-potatoes-sea-salt-rosemary,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/saute-potatoes-with-sea-salt-rosemary-626f44d.jpg?quality=90&resize=93,85",Sauté potatoes with sea salt & rosemary,There are few sides as simple and perfect as pan-fried spuds - the secret is boiling the potatoes in their skins before frying until golden.
36,side-dish,Soft burger buns,/recipes/soft-burger-buns,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/soft-burger-buns-f4e21ef.jpg?quality=90&resize=93,85",Soft burger buns being carried on a plate,"Combine the ingredients for brioche with a burger bun recipe to make a deliciously sweet, soft, light dough. It could also be shaped into hot dog rolls"
37,side-dish,Caramelised onion & thyme sausage rolls,/recipes/caramelised-onion-thyme-sausage-rolls,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/caramelised-onion-thyme-sausage-rolls-1ac2081.jpg?quality=90&resize=93,85",Caramelised onion & thyme sausage rolls,"Take a sheet of puff pastry and stuff it with pork sausages, chutney and mustard to make these onion & thyme sausage rolls. They’re perfect picnic food"
38,side-dish,Caramelised onions,/recipes/caramelised-onions,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/onions-hero-1edb90d.jpg?quality=90&resize=93,85",Caramelised onions in a frying pan,"Master how to make sweet, sticky caramelised onions. Perfect for adding to pasta, quiches or topping burgers and sausages"
39,side-dish,Next level potato salad,/recipes/next-level-potato-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/next-level-potao-salad-c80d4bf.jpg?quality=90&resize=93,85",Next level potato salad served on a plate,"Take the humble potato salad to the next level with our ultimate version of this ever-versatile side dish. It's perfect for picnics, barbecues and more"
40,side-dish,Homemade custard,/recipes/homemade-custard,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1095467_12-bc9eb0e.jpg?quality=90&resize=93,85",Homemade custard,"Once you've cracked this technique for silky smooth vanilla custard, you'll never go back to tinned"
41,side-dish,Next level ratatouille,/recipes/next-level-ratatouille,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/ratatouille-8d4a025.jpg?quality=90&resize=93,85",Ratatouille served in a casserole dish,"Seasonal vegetables are all slow-cooked together in a dish that truly celebrates summer. Serve with bread, or for a more substantial meal, as a side with barbecued or roasted meat or fish"
42,side-dish,"Chickpea, tomato & spinach curry",/recipes/chickpea-tomato-spinach-curry,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-605547_11-2814b4b.jpg?quality=90&resize=93,85","Chickpea, tomato & spinach curry","A superhealthy, vegan curry that accounts for 2 of your 5-a-day and is low in calories to boot!"
43,side-dish,Perfect mashed potatoes,/recipes/creamy-mash,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/creamy_mashed_potatoes-a78053f.jpg?quality=90&resize=93,85",Mashed potatoes in a bowl,"Make this smoothy and silky mash for the perfect side. It incorporates clever substitutions to reduce fat and calories, while remaining comfortingly creamy"
44,side-dish,Summer couscous salad,/recipes/summer-couscous-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-315542_12-92e684d.jpg?quality=90&resize=93,85",Summer couscous salad,"Capture the flavours of summer in this simple, hearty couscous salad. With fried halloumi, vine tomatoes and courgettes, it's perfect for an al fresco lunch"
45,side-dish,Olive oil bread,/recipes/olive-oil-bread,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-593451_12-9125df3.jpg?quality=90&resize=93,85",Olive oil bread,"Follow this simple step-by-step method for a homemade loaf, or adapt to include your favourite flavours"
46,side-dish,Potato rösti,/recipes/potato-rosti-cakes-sage-leaves,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/potato-rosti-cakes-with-sage-leaves-12eeb5f.jpg?quality=90&resize=93,85",Four potato rösti cakes topped with sage leaves,"This popular Swiss dish of pan-fried, golden potato patties with onion and sage makes a delicious side dish for two – perfect on its own, or top with a fried egg"
47,side-dish,Hasselback potatoes,/recipes/hasselback-potatoes,"https://images.immediate.co.uk/production/volatile/sites/30/2021/03/Hasselback-Potatoes-a818dcb.jpg?quality=90&resize=93,85",Hasselback potatoes in a baking dish with rosemary,Try something new with your Sunday roast this weekend with these garlic and rosemary hasselback potatoes. Using same-sized potatoes will help them cook evenly.
48,side-dish,Fondant potatoes,/recipes/fondant-potatoes,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/fondant-potatoes-6db95cf.jpg?quality=90&resize=93,85",Fondant potatoes in a pan,"Try something new with potatoes. Fondant potatoes are favourites with chefs, and are seasoned with rosemary and thyme. They're gorgeous when served as part of a Sunday roast"
49,side-dish,Irish soda bread,/recipes/irish-soda-bread,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-928_11-aff69bd.jpg?quality=90&resize=93,85",Irish soda bread,"Get the taste of Ireland with this fresh, no-fuss soda bread"
50,side-dish,Greek bouyiourdi,/recipes/greek-bouyiourdi,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/greek-bouiyourdi-54f3d79.jpg?quality=90&resize=93,85",Greek bouyiourdi in a dish,"Enjoy this baked feta with tomatoes, garlic and chilli as part of a meze lunch. It's perfect for scooping up with warm pitta breads alongside a Greek salad or use keto bread for a keno-friendly version"
51,side-dish,Quick & easy flatbreads,/recipes/quick-puffy-flatbreads,"https://images.immediate.co.uk/production/volatile/sites/30/2020/11/Quick-and-fluffy-flatbread-d4136f8.jpg?quality=90&resize=93,85",Quick and puffy flatbreads served with curry,"Whip up these speedy puffed flatbreads for an Indian-style feast. They're like a cheat’s version of naan bread, and are great for mopping up a curry"
52,side-dish,Potato wedges,/recipes/potato-wedges,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/potato-wedges-388c229.jpg?quality=90&resize=93,85",Potato wedges served with soured cream,"Serve these simple potato wedges with soured cream to dip into as a snack, or enjoy as a side dish alongside chilli con carne, burgers or salads "
53,side-dish,Mexican fiesta rice,/recipes/mexican-fiesta-rice,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mexican-fiesta-rice-2b214ba.jpg?quality=90&resize=93,85",Mexican fiesta rice served in a bowl,"Make this tasty Mexican rice to serve a crowd. Our recipe is vegan but if everyone you're cooking for eats meat, some chopped bacon in with the onions works well"
54,side-dish,Chicken caesar salad,/recipes/chicken-caesar-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-327831_11-3524329.jpg?quality=90&resize=93,85",Chicken Caesar salad in a bowl with wooden salad servers,"A classic chicken salad recipe, featuring crunchy croutons and a creamy, garlic dressing. Ideal for lunch with friends"
55,side-dish,Kale with chana & coconut,/recipes/kale-chana-coconut,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/kale-with-chana-coconut-174b2da.jpg?quality=90&resize=93,85",Kale with chana & coconut,"This vegetarian dish, with chickpeas, spiced greens, and yogurt, is halfway between chana masala and saag bhaji - a great side to curries"
56,side-dish,Mexican rice,/recipes/mexican-tomato-rice,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mexican-rice-0aa8bc0.jpg?quality=90&resize=93,85",Mexican tomato rice served on a blue plate,Enjoy this easy Mexican tomato rice as a side dish to accompany beef burritos or chilli. You can choose to make it veggie if you like by using vegetable stock
57,side-dish,Chickpea & coconut dhal,/recipes/chickpea-coconut-dhal,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chickpea-coconut-dhal-0a95898.jpg?quality=90&resize=93,85",Chickpea & coconut dhal served in a casserole dish,"You’ll love the ‘tarka’, which is the spiced butter that’s poured over this subtly flavoured Indian chickpea and coconut dhal. Serve with chutneys and pickles alongside"
58,side-dish,Easy naan bread,/recipes/easy-naan-bread,"https://images.immediate.co.uk/production/volatile/sites/30/2021/05/easy-naan-bread-9f0c8e5.jpg?quality=90&resize=93,85",Easy naan bread with butter,"Rustle up soft, fluffy naan bread topped with herby garlic butter. A perfect side dish for dunking into curries, it’s super easy to make"
59,side-dish,Crispy tofu,/recipes/crispy-tofu,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/crispy-tofu-b7ee8cd.jpg?quality=90&resize=93,85",Crispy tofu on a chopping board,"Fry tofu in a coating of smoked paprika, garlic and seasoning to make these crispy tofu bites. Eat as a snack or as a starter or side dish in a veggie feast"
60,side-dish,"Cheesy celeriac, leek & rosemary gratin",/recipes/cheesy-celeriac-leek-rosemary-gratin,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cheesy-celeriac-leek-rosemary-gratin-ba8bfd1.jpg?quality=90&resize=93,85","Cheesy celeriac, leek & rosemary gratin in a dish",Combine celeriac and leek with mature cheddar for an indulgent Christmas side dish. A spoonful of mustard or horseradish stirred through the cream wouldn’t go amiss
61,side-dish,Pumpkin curry with chickpeas,/recipes/pumpkin-curry-chickpeas,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-513500_11-a7d21eb.jpg?quality=90&resize=93,85",Pumpkin curry with chickpeas,A veggie dinner party dish which stands alone as a vegan main course or as a complex side dish perfect served with spiced roast meat or fish.
62,side-dish,Shallot & red wine sauce,/recipes/shallot-red-wine-sauce,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1035757_11-e447888.jpg?quality=90&resize=93,85",Spooning shallot and red wine sauce on a steak,This classic French sauce from Gordon Ramsay is just perfect with a rib-eye steak
63,side-dish,Squash & barley salad with balsamic vinaigrette,/recipes/squash-barley-salad-balsamic-vinaigrette,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-279468_11-4076d48.jpg?quality=90&resize=93,85",Squash & barley salad with balsamic vinaigrette,"A flavour-packed, unusual salad that's delicious warm or cold - works really well as part of a buffet"
64,side-dish,Nachos,/recipes/speedy-nachos,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-2507_11-bb80af0.jpg?quality=90&resize=93,85","nachos covered in grated cheese, salsa and spring onions","Whip up these speedy homemade nachos for a casual get-together with friends. Crispy tortilla chips are loaded with salsa, cheese, spring onions, chilli and other toppings."
65,side-dish,Honey-roasted parsnips,/recipes/honey-roasted-parsnips,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/honey-roasted-parsnip-361bce8.jpg?quality=90&resize=93,85",Golden honey-roasted parsnips on a plate,"These golden, honeyed parsnips have just the right mix of earthiness and sweet glaze to make a moreish Christmas side dish, and they’re quick to prepare"
66,side-dish,Honey & sriracha hot wings,/recipes/honey-sriracha-hot-wings,"https://images.immediate.co.uk/production/volatile/sites/30/2021/05/Hot-wings-0c80ed3.jpg?quality=90&resize=93,85",Honey & sriracha hot wings served on a plate,Enjoy crisp hot wings straight from the oven – no need for deep-frying – with this clever recipe. Eat unglazed or try our honey and sriracha glaze
67,side-dish,Yellow rice,/recipes/yellow-rice,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-560859_11-3c191d4.jpg?quality=90&resize=93,85",Yellow rice,"This is delicious – vibrant with spices, with a sweet note from the sugar and raisins. Perfect with our Bobotie recipe"
68,side-dish,Cheese & pesto whirls,/recipes/cheese-pesto-whirls,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/cheese-pesto-whirls-01e4b02.jpg?quality=90&resize=93,85",Cheese & pesto whirls,These herby tear-and-share bread rolls have mozzarella and sun-dried tomatoes baked into them - perfect for a picnic or for dipping into soup
69,side-dish,Loaded chips ideas,/recipes/best-ever-oven-chips,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/best-ever-oven-chips-df63cbe.jpg?quality=90&resize=93,85",Best ever oven chips served on a tray,"Make your own crispy, golden oven chips and save yourself some money. They're also much easier to cook than their fried counterparts"
70,side-dish,Chickpea stew with tomatoes & spinach,/recipes/chickpeas-tomatoes-spinach,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-871504_10-a91e5e1.jpg?quality=90&resize=93,85",Chickpeas with tomatoes & spinach,"For a great night in, whip up this warming meal, serve with a bit of naan and get comfy on the sofa"
71,side-dish,Roasted carrots,/recipes/roasted-carrots,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/roasted_carrots-ed5bdbb.jpg?quality=90&resize=93,85",Roasted carrots in a bowl next to a glass of red wine,These sticky honey-roasted carrots make a simple yet scrumptious side for Christmas dinner or a Sunday lunch
72,side-dish,Sautéed chorizo with red wine,/recipes/sauteed-chorizo-red-wine,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sauteed-chorizo-with-red-wine-3d0956b.jpg?quality=90&resize=93,85",Sautéed chorizo with red wine,"These chunks of spicy sausage in a rich glaze of garlic, honey and red wine are sure to disappear quickly from a buffet or tapas spread"
73,side-dish,Basic shortcrust pastry,/recipes/basic-shortcrust-pastry,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-559694_11-7a3f18f.jpg?quality=90&resize=93,85",Shortcrust pastry on a rolling pin covering a pasty,"Learn how to make perfect shortcrust pastry every time with our easy recipe. For best results, make sure the butter is cold"
74,side-dish,Broccoli salad,/recipes/raw-vegan-broccoli-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/broccoli-salad-ec9416d.jpg?quality=90&resize=93,85",Broccoli salad in a bowl,"Enjoy this crunchy, vegan broccoli salad for lunch or as a side. It's sweet, sharp and full of different textures and colours"
75,side-dish,Easy egg-fried rice,/recipes/egg-fried-rice,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/egg-fried-rice-70b2cce.jpg?quality=90&resize=93,85",A bowl of healthy egg-fried rice,"Make your own healthy egg-fried rice with our easy recipe. Use leftover rice, or cook and dry it on a plate before using so it doesn't stick to the wok"
76,side-dish,Saag paneer,/recipes/saag-paneer,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/saag-paneer-4893170.jpg?quality=90&resize=93,85",A dish serving saag paneer,"An Indian dish with plenty of flavour, saag paneer is a well-loved vegetarian side dish. It's rich in calcium and folate from the spinach and is gluten-free, too"
77,side-dish,Chana masala,/recipes/chana-masala,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chana-masala-fb809bc.jpg?quality=90&resize=93,85",A bowl filled with chana masala - chickpea curry,"Serve this vegetarian Indian chickpea curry as a main meal or side dish. It's gluten-free, good for you and freezable so you can save any leftovers."
78,side-dish,Cheesy garlic bread,/recipes/cheesy-garlic-bread,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-424648_11-de85439.jpg?quality=90&resize=93,85",Cheesy garlic bread,"This goeswith so many family dishes, such as chilli con carne,soups, salads and barbecues"
79,side-dish,Sage and onion stuffing,/recipes/sage-and-onion-stuffing,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sage-and-onion-stuffing-423ecb9.jpg?quality=90&resize=93,85",A collection of sage and onion stuffing balls,Complete a roast dinner with sage and onion stuffing. Make it even easier by packing the mixture into a small baking dish instead of rolling into balls
80,side-dish,Homemade sourdough bread,/recipes/homemade-sourdough-bread,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sourdough-e088dc0.jpg?quality=90&resize=93,85",Sourdough loaf cut into slices,Make our easy sourdough starter seven days ahead to make our simple homemade sourdough loaf. Serve with your favourite casseroles or soups
81,side-dish,Classic coleslaw,/recipes/classic-coleslaw,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/classic-coleslaw_1-d9692f8.jpg?quality=90&resize=93,85",Coleslaw in bowl,"Make an easy classic coleslaw base then tailor it to your tastes. Apple and cheese work well, plus fennel, celeriac, raisins, spring onions or fresh herbs"
82,side-dish,Black & white rice salad with cumin-roasted butternut squash,/recipes/black-white-rice-salad-cumin-roasted-butternut-squash,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/black-white-rice-salad-with-cumin-roasted-butternut-squash-687c5a2.jpg?quality=90&resize=93,85",Black & white rice salad with cumin-roasted butternut squash,"This vibrant Persian side salad is studded with dried fruit, nuts and seeds and finished with crumbled feta - ideal to take along to a Christmas buffet"
